worm genus;a genus of worms
genus onopordum;a genus of eurasian herbs of the family compositae with prickly foliage and large purplish flowers
genus plethodon;type genus of the plethodontidae
carlina;genus of mediterranean thistles
kaffir;important for human and animal food. growth habit and stem form similar to indian corn but having sawtooth-edged leaves
acanthisitta;a genus of xenicidae
secale;cereal grass widely cultivated for its grain: rye
genus jynx;wrynecks
zantedeschia;calla lily
genus liriodendron;tulip trees
icterus;type genus of the icteridae
ruminantia;cattle. bison. sheep. goats. antelopes. deer. chevrotains. giraffes. camels
phellodendron;small genus of aromatic deciduous trees of east asia often having thick corky bark
family tulostomaceae;stalked puffballs
nuda;ctenophores lacking tentacles. comprises one genus: beroe
mucoraceae;large family of chiefly saprophytic fungi that includes many common molds destructive to food products
genus thamnophis;garter snakes
picidae;woodpeckers
chlamydosaurus;frilled lizards
astrophyton;includes many of the basket stars
arachis;a genus of plants with pods that ripen underground (see peanut)
genus oxytropis;large widely-distributed genus of evergreen shrubs or subshrubs having odd-pinnate leaves and racemose or spicate flowers each having a pealike corolla with a clawed petal
gleicheniaceae;a family of ferns belonging to order filicales
usneaceae;fruticose lichens having prostrate or erect or pendullus thalli: genera usnea. evernia. ramalina. alectoria
family fagaceae;chiefly monoecious trees and shrubs: beeches. chestnuts. oaks. genera castanea. castanopsis. chrysolepis. fagus. lithocarpus. nothofagus. quercus
genus chauna;crested screamers
genus danaus;type genus of the danaidae: monarch butterflies
genus lycoperdon;genus of fungi whose fruiting body tapers toward a base consisting of spongy mycelium
chondrus;a genus of protoctista
genus scolymus;small genus of thistlelike herbs of the mediterranean region
family taxaceae;sometimes classified as member of order taxales
cambarus;a genus of astacidae
family cichlidae;cichlids
lycosidae;wolf spiders
sarcostemma;succulent subshrubs or vines. tropical and subtropical india and africa and malaysia
atropidae;booklice
genus samolus;genus of herbs usually growing in salt marshes: water pimpernels
seriola;a genus of carangidae
feterita;a sudanese sorghum having exceptionally large soft white grains
genus chaenactis;genus of flowering herbs of western united states
genus pyxidanthera;1 species: pyxie. the eastern united states
family geometridae;measuring worms
boletus;type genus of boletaceae. genus of soft early-decaying pore fungi. some poisonous and some edible
family dinornithidae;moas
genus gypaetus;in some classifications the type genus of the family aegypiidae
genus staphylea;a genus of small trees or shrubs of the family staphylaceae
genus pica;magpies
lavatera;widespread genus or herbs or soft-wooded arborescent shrubs cultivated for their showy flowers
nutmeg family;family of aromatic tropical trees with arillate seeds
genus micrococcus;type genus of the family_micrococcaceae
genus tachyglossus;type genus of the family tachyglossidae
genus thujopsis;one species. has close similarity to genus thuja
genus amphicarpa;very small genus of twining vines of north america and asia: hog peanut
hippocrepis;species of old world herbs or subshrubs: horseshoe_vetch
genus garcinia;evergreen trees and shrubs: mangosteens
chiroptera;an old order dating to early eocene: bats: suborder_megachiroptera (fruit bats). suborder_microchiroptera (insectivorous bats)
genus doodia;in some classification systems placed in family polypodiaceae. small terrestrial colony-forming ferns of australasia
utricularia;bladderworts: large genus of aquatic carnivorous plants. cosmopolitan in distribution
protoctist order;the order of protoctista
genus abudefduf;damsel fishes
pleurobrachiidae;sea gooseberries
scindapsus;evergreen climbers with adhesive adventitious roots. southeastern asia and brazil
procnias;bellbirds
genus pterostylis;genus of terrestrial orchids of australia and new zealand and western pacific
menticirrhus;kingfishes. whiting
class rhodophyceae;coextensive with the rhodophyta: red algae
bankia;giant shipworms
family carpinaceae;used in some classification systems for the genera carpinus. ostryopsis. and ostryopsis
family coccinellidae;the ladybugs
family helicidae;land snails including the common edible snail and some pests
genus grindelia;large genus of coarse gummy herbs of western north and central america
family araceae;anthurium. calla lily. jack-in-the-pulpit. philodendron
hydnum;type genus of hydnaceae
andropogon;tall annual or perennial grasses with spikelike racemes. warm regions
pterois;lionfishes
family acanthaceae;widely distributed herbs and shrubs and trees. sometimes placed in the order scrophulariales
order corrodentia;an order of insects: includes booklice and barklice
cynoglossidae;tonguefishes
genus larus;type genus of the laridae
genus gyromitra;a genus of fungi of the family helvellaceae with a fertile portion that is tan to brown
reptile family;a family of reptiles
rosaceae;a large family of dicotyledonous plants of order rosales. have alternate leaves and five-petaled flowers with numerous stamens
genus pinguicula;butterworts: a large genus of almost stemless carnivorous bog plants. europe and america to antarctica
hemachatus;ringhals
pisum;small genus of variable annual eurasian vines: peas
broussonetia;paper mulberry
rhyniaceae;primitive plants of the paleozoic
genus istiophorus;type genus of the istiophoridae
genus parus;type genus of the family paridae
subfamily nelumbonaceae;in some classifications considered an independent family of water lilies. comprises the single genus nelumbo
lobotidae;tripletails
rush family;tufted herbs resembling grasses: rushes
family capromyidae;coypus
grain sorghum;any of several sorghums cultivated primarily for grain
genus balanus;type genus of the family balanidae
family reduviidae;assassin bugs
petaurista;very large asiatic flying squirrels
tubulidentata;an order of eutheria
genus cerastium;mouse-eared chickweed
lagostomus;viscachas
subgenus;(biology) taxonomic group between a genus and a species
drymarchon;a genus of colubridae
genus schaffneria;1 species
philomachus;ruffs
crassulaceae;succulent shrubs and herbs
genus polyangium;type genus of the family polyangiaceae: myxobacteria with rounded fruiting bodies enclosed in a membrane
genus dipodomys;kangaroo rats
order collembola;minute wingless arthropods: springtails
genus halicoeres;a genus of labridae
stizolobium;genus of tropical herbs and woody vines having trifoliate leaves and showy flowers in axillary clusters
cypress family;cypresses and junipers and many cedars
genus dreissena;zebra mussels
scheuchzeriaceae;a family of monocotyledonous bog herbs of order naiadales
genus cicada;type genus of the cicadidae: cicadas
family serranidae;marine fishes: sea basses. sea perches. groupers. jewfish
genus avicennia;small genus of tropical shrubs or trees
genus libocedrus;cypresses that resemble cedars
pythoninae;old world boas: pythons. in some classifications considered a separate family from boidae
percomorphi;one of the largest natural groups of fishes of both marine and fresh water: true perches. basses. tuna
lithospermum;annual or perennial herbaceous or shrubby plants. cosmopolitan except australia
dracaenaceae;one of two subfamilies to which some classification systems assign some members of the agavaceae
archosargus;a genus of sparidae
phrynosoma;horned lizards
spalacidae;mole rats
swietinia;tropical american mahogany trees
polyporaceae;fungi that become corky or woody with age, often forming shelflike growths on trees
genus ichthyostega;second earliest fossil amphibian ever found. of the devonian. found in greenland
spermatophyta;seed plants. comprises the angiospermae (or magnoliophyta) and gymnospermae (or gymnospermophyta). in some classification systems spermatophyta is coordinate with pteridophyta (spore producing plants having vascular tissue and roots) and bryophyta (spore producing plants lacking vascular tissue and roots)
chlamydomonadaceae;green algae some of which are colored red by hematochrome
selaginella apoda;spikemoss forming dense mats. eastern north america
family sciadoptyaceae;family comprising a single genus that until recently was considered part of taxodiaceae
genus armillariella;a honey-colored diminutive form of genus armillaria. grows in clusters. edible (when cooked) but most attention has been on how to get rid of it
pseudotsuga;douglas fir. closely related to genera larix and cathaya
genus pan;chimpanzees. more closely related to australopithecus than to other pongids
trionyx;type genus of the trionychidae
genus heliothis;a genus of noctuidae
genus rhagoletis;a genus of trypetidae
genus eira;a genus of mustelidae
family pomatomidae;food and game fishes related to pompanos
genus hamamelidanthum;genus of fossil plants of the oligocene having flowers resembling those of the witch hazel. found in baltic region
class coniferopsida;cone-bearing gymnosperms dating from the carboniferous period. most are substantial trees. includes the classes pinopsida (subdivision pinophytina) and ginkgopsida (subdivision ginkgophytina) and taxopsida (subdivision taxophytina) which in turn include the surviving orders coniferales and taxales (yews) and sometimes ginkgoales as well as extinct orders such as cordaitales (of the carboniferous and permian) and volztiales (of the permian-jurassic)
