tightfistedness;extreme stinginess
unbreakableness;a consistency of something that does not break under pressure
reversibility;the quality of being reversible in either direction
honours;(great britain) a university degree with honors
unoriginality;the quality of being unoriginal
boldness;the quality of standing out strongly and distinctly
blackness;the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
pertinacity;persistent determination
liberality;the trait of being generous in behavior and temperament
accuracy;(mathematics) the number of significant figures given in a number. 'the atomic clock enabled scientists to measure time with much greater accuracy'
profuseness;the property of being extremely abundant
market price;the price at which buyers and sellers trade the item in an open marketplace
visual property;an attribute of vision
master of arts in library science;a master's degree in library science
tallness;the property of being taller than average stature
incredibleness;the quality of being incredible
acerbity;a sharp and bitter manner
intangibleness;the quality of being intangible
cast;the visual appearance of something or someone. 'the delicate cast of his features'
effect;(of a law) having legal validity. 'the law is still in effect'
admirability;admirable excellence
valorousness;the qualities of a hero or heroine. exceptional or heroic courage when facing danger (especially in battle). 'he showed great heroism in battle'. 'he received a medal for valor'
accord;sympathetic compatibility
friability;excessive breakableness
goodness;moral excellence or admirableness: 'there is much good to be found in people'
greediness;an excessive desire for wealth (usually in large amounts). 'the greediness of lawyers'
doctor of musical arts;a doctor's degree in musical arts
vigor;active strength of body or mind
carte blanche;complete freedom or authority to act
dispatch;the property of being prompt and efficient. 'it was done with dispatch'
flimsiness;the property of weakness by virtue of careless construction
coloration;appearance with regard to color: 'her healthy coloration'
ecru;a very light brown
handiness;the quality of being at hand when needed
genuineness;undisputed credibility
christianity;the system of christian beliefs and practices
heft;the property of being large in mass
spark advance;the timing of ignition relative to the position of the piston in an internal-combustion engine
stiffness;the physical property of being inflexible and hard to bend
hardiness;the property of strong in constitution
obscenity;the trait of behaving in an obscene manner
green fingers;a special ability to make plants grow
articulateness;the quality of being facile in speech and writing
illegitimacy;unlawfulness by virtue of not being authorized by or in accordance with law
lateness;quality of coming late or later in time
torpidity;inactivity resulting from torpidity and lack of vigor or energy
fibre;the inherent complex of attributes that determine a persons moral and ethical actions and reactions: 'educaton has for its object the formation of character'- herbert spencer
reddish blue;a variable color that lies beyond blue in the spectrum
gaseousness;having the consistency of a gas
retentiveness;the power of retaining liquid: 'moisture retentivity of soil'
penalty;the disadvantage or painful consequences of an action or condition: 'neglected his health and paid the penalty'
nick;an impression in a surface (as made by a blow)
account;importance or value. 'a person of considerable account'. 'he predicted that although it is of small account now it will rapidly increase in importance'
comeliness;the quality of being good looking and attractive
