alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
glauber s salt;(na2so4.10h2o) a colorless salt used as a cathartic
allyl alcohol;an unsaturated primary alcohol present in wood spirit. use to make resins and plasticizers and pharmaceuticals
tannic acid;any of various complex phenolic substances of plant origin. used in tanning and in medicine
bromide;any of the salts of hydrobromic acid. used as a sedative
calomel;a tasteless colorless powder used medicinally as a cathartic
phthalic anhydride;a white cyclic anhydride
sulfuric acid;(h2so4) a highly corrosive acid made from sulfur dioxide. widely used in the chemical industry
bloody mary;vodka and spicy tomato juice
noradrenaline;a hormone secreted by the adrenal medulla and also released at synapses
carbohydrate;an essential structural component of living cells and source of energy for animals. includes simple sugars with small molecules as well as macromolecular substances. are classified according to the number of monosaccharide groups they contain
element;a transuranic element
munich beer;imported from germany
spruce beer;a fermented alcoholic beverage made of molasses and spruce twigs fermented with yeast
atomic number;a colorless and odorless inert gas. one of the six inert gases. comprises approximately 1% of the earth's atmosphere
malt sugar;a white crystalline sugar formed during the digestion of starches
rose wine;pinkish table wine from red grapes whose skins were removed after fermentation began
atomic number;a rare polyvalent metallic element of the platinum group. it is found associated with platinum
polish;a preparation used in polishing
guinness;a kind of bitter stout
permafrost;ground that is permanently frozen
atomic number;a heavy silvery toxic univalent and bivalent metallic element. the only metal that is liquid at ordinary temperatures
ferrocyanide;salt of ferrocyanic acid usually obtained by a reaction of a cyanide with iron sulphate
ceratin;a fibrous scleroprotein that occurs in the outer layer of the skin and in horny tissues such as hair feathers nails and hooves
sloe gin;gin flavored with sloes (fruit of the blackthorn)
re;a rare heavy polyvalent metallic element that resembles manganese chemically and is used in some alloys. is obtained as a by-product in refining molybdenum
pva;a vinyl polymer used especially in paints or adhesives
tisane;infusion of e.g. dried or fresh flowers or leaves
taconite;a variety of chert containing magnetite and hematite. mined as a low-grade iron ore
babassu oil;fatty oil from kernels of babassu nuts similar to coconut oil
marbling;the intermixture of fat and lean in a cut of meat
amyloid;(pathology) a waxy translucent complex protein resembling starch that results from degeneration of tissue
lye;a strong solution of sodium or potassium hydroxide
fat;a soft greasy substance occurring in organic tissue. 'pizza has too much fat'
olive oil;oil from olives
sodium bichromate;a red-orange salt used as a mordant
columbium;a former name for niobium
marsh gas;methane gas produced when vegetation decomposes in water
antimony potassium tartrate;a poisonous colorless salt used as a mordant and in medicine
deoxyribose;a sugar that is a constituent of nucleic acids
epinephrine;a hormone secreted by the adrenal medulla in response to stress (trade name adrenalin). stimulates autonomic nerve action
n;a common nonmetallic element that is normally a colorless odorless tasteless inert diatomic gas. constitutes 78 percent of the atmosphere by volume. a constituent of all living tissues
damascus steel;a hard resilient steel often decorated and used for sword blades
itaconic acid;a crystalline carboxylic acid. occurs in some fermentations of sugars
air gas;a gas made of carbon monoxide and hydrogen and nitrogen. made by passing air over hot coke
atomic number;a bivalent and trivalent metallic element of the rare earth group
sewer gas;foul-smelling gas that forms in sewers
high speed steel;an alloy steel that remains hard at a red heat. used to make metal-cutting tools
bullshot;vodka and beef bouillon or consomme
guinea gold;22-karat gold from which guinea coins were made
fruit sugar;a simple sugar found in honey and in many ripe fruits
exhaust fumes;gases ejected from an engine as waste products
hydroxide;a compound of an oxide with water
acrylonitrile;a colorless liquid unsaturated nitrile made from propene
mulled cider;sweet cider heated with spices and citrus fruit
atomic number;a soft silvery white toxic metallic element used in steel alloys. it occurs in several complex minerals including carnotite and vanadinite
hot chocolate;made from baking chocolate or cocoa powder and milk and sugar
enamine;an amine containing the double bond linkage -c=c-n-
borosilicate;a salt of boric and silicic acids
anhydride;a compound formed from one or more other compounds in a reaction resulting in removal of water
jamaica rum;heavy pungent rum from jamaica
goats;the milk of a goat
tyrosine;an amino acid found in most proteins. a precursor of several hormones
hypophosphorous acid;a clear or yellow-colored monobasic acid (h3po2)
oil of cloves;essential oil obtained from cloves and used to flavor medicines
hypophosphoric acid;a crystalline tetrabasic acid (h4p2o6)
milk sugar;a sugar comprising one glucose molecule linked to a galactose molecule. occurs only in milk. 'cow's milk contains about 4.7% lactose'
creme de menthe;sweet green or white mint-flavored liqueur
sugar of lead;a poisonous white solid (pb[ch3co]2) used in dyeing cotton and in making enamels and varnishes
fibrin;a white insoluble fibrous protein formed by the action of thrombin on fibrinogen when blood clots. it forms a network that traps red cells and platelets
chardonnay;dry white chablis-type table wine made from chardonnay grapes
hootch;an illicitly distilled (and usually inferior) alcoholic liquor
levulose;a simple sugar found in honey and in many ripe fruits
chrome;another word for chromium when it is used in dyes or pigments
amyloid;a nonnitrogenous food substance consisting chiefly of starch. any substance resembling starch
nickel silver;a silver-white alloy containing copper and zinc and nickel
kahlua;coffee-flavored liqueur made in mexico
graphite;used as a lubricant and as a moderator in nuclear reactors
cs;a soft silver-white ductile metallic element (liquid at normal temperatures). the most electropositive and alkaline metal
silver;a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal. occurs in argentite and in free form. used in coins and jewelry and tableware and photography
hock;any of several white wines from the rhine river valley in germany ('hock' is british usage)
cyanamide;a compound used as a fertilizer and as a source of nitrogen compounds
uranium;the commonest isotope of uranium. it is not fissionable but when irradiated with neutrons it produces fissionable plutonium 239
milk punch;a punch made of spirits and milk and sugar and spices
cornstarch;starch prepared from the grains of corn. used in cooking as a thickener
starch;a complex carbohydrate found chiefly in seeds, fruits, tubers, roots and stem pith of plants, notably in corn, potatoes, wheat, and rice. an important foodstuff and used otherwise especially in adhesives and as fillers and stiffeners for paper and textiles
